1997.762863;-8.44;-11.69
1997.790029;-12.17;-11.57
1997.817195;-13.24;-12.15
1997.844362;-11.98;-13
1997.871528;-15.85;-14.3
1997.898694;-16.6;-15.44
1997.92586;-15.03;-16.92
1997.953026;-23.14;-18.43
1997.980192;-21.35;-19.63
1998.007358;-24.47;-20.42
1998.034525;-20.8;-20.85
1998.061691;-25.03;-21.09
1998.088857;-22.2;-21.33
1998.116023;-22.31;-21.58
1998.143189;-23.49;-21.75
1998.170355;-24.83;-21.79
1998.197521;-22.26;-21.69
1998.224688;-22.3;-21.69
1998.251854;-23.08;-21.62
1998.27902;-21.18;-21.9
1998.306186;-23.68;-22.51
1998.333352;-24.31;-23.45
1998.360518;-26.95;-24.7
1998.387685;-25.46;-25.83
1998.414851;-29.91;-27.05
1998.442017;-29.18;-27.51
1998.469183;-30.43;-27.54
1998.496349;-27.33;-27.37
1998.523515;-27.76;-27.14
1998.550681;-29.28;-26.74
1998.577848;-27.9;-26.37
1998.605014;-27.75;-25.51
1998.63218;-28;-24.79
1998.659346;-24.46;-23.92
1998.686512;-23.19;-23.17
1998.713678;-23.83;-22.58
1998.740845;-23.68;-22.29
1998.768011;-22.6;-21.9
1998.795177;-24.21;-21.89
1998.822343;-21.82;-22.2
1998.849509;-24.03;-22.75
1998.876675;-24.2;-23.4
1998.903841;-27.94;-23.98
1998.931008;-23.74;-24.51
1998.958174;-27.68;-24.88
1998.98534;-26.52;-25.3
1999.012506;-28.27;-25.5
1999.039672;-26.4;-25.42
1999.066838;-28.46;-24.9
1999.094005;-30.96;-23.95
1999.121171;-20.44;-23.02
1999.148337;-23.38;-22.15
1999.175503;-21.77;-21.76
1999.202669;-23.59;-21.71
1999.229835;-22.55;-22.02
1999.257001;-24.74;-22.29
1999.284168;-23.68;-22.8
1999.311334;-28.8;-23.36
1999.3385;-26.82;-23.85
1999.365666;-24.92;-24.17
1999.392832;-26.1;-24.37
1999.419998;-24.94;-24.46
1999.447164;-28.39;-24.38
1999.474331;-26.44;-23.83
1999.501497;-25.27;-23.37
1999.528663;-23.19;-22.57
1999.555829;-23.3;-21.74
1999.582995;-22.3;-20.87
1999.610161;-23.53;-19.81
1999.637328;-18.23;-18.4
1999.664494;-21.5;-16.68
1999.69166;-17.58;-15.01
1999.718826;-14.13;-13.77
1999.745992;-14.88;-13.36
1999.773158;-11.58;-12.85
1999.800324;-14.59;-13.04
1999.827491;-15.23;-13.56
1999.854657;-16.59;-14.08
1999.881823;-15.8;-14.65
1999.908989;-18.2;-15.18
1999.936155;-16.1;-15.68
